Unnamed: 0,Unnamed: 0.1,features_used,target,random_state,model_type,scaled,alpha,coeffs,train_score,test_score,cross_val_score,output,intercept,model_id
0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,
1.0,1.0,"['wood_deck_sf', 'open_porch_sf', 'bsmtfin_sf_1', 'heating_qc', 'fireplaces', 'mas_vnr_area', 'totrms_abvgrd', 'full_bath', 'fireplace_qu', 'year_remod/add', 'garage_yr_blt', 'year_built', 'bsmt_qual', '1st_flr_sf', 'total_bsmt_sf', 'garage_area', 'kitchen_qual', 'gr_liv_area', 'exter_qual', 'overall_qual', 'lot_area']",saleprice,1,<class 'sklearn.linear_model.base.LinearRegression'>,0,model has none,"[ 6.87142904e+00  1.63108139e+01  2.50263425e+01  9.49815090e+02
 -1.39140540e+03  3.91482426e+01  2.71969277e+01 -5.76897352e+03
  2.50397292e+03  1.88675531e+02 -1.14105039e+02  1.59007312e+02
  2.35763905e+03  1.14847015e+01  1.12747758e+01  3.15038676e+01
  1.23702473e+04  4.66465728e+01  1.75128255e+04  1.20449374e+04
  1.62599562e+00]",0.8890900111917521,0.8370283628053425,0.8828173190851727,submission1.csv,-605638.5471272045,1.0
2.0,2.0,"['bsmtfin_sf_1', 'heating_qc', 'mas_vnr_area', 'fireplace_qu', 'garage_yr_blt', 'year_built', 'bsmt_qual', '1st_flr_sf', 'garage_area', 'kitchen_qual', 'gr_liv_area', 'exter_qual', 'overall_qual', 'porches', 'baths', 'open_porch_sf', 'full_bath']",saleprice,1,<class 'sklearn.linear_model.base.LinearRegression'>,0,model has none,"[ 2.62537483e+01  2.08909734e+03  3.55312040e+01  2.07860414e+03
 -1.19177178e+02  8.29182227e+01  4.76101047e+03  3.52394388e+01
  3.99734123e+01  1.32637922e+04  4.00757734e+01  1.82114761e+04
  1.11754834e+04  2.03295586e-01  5.75641716e+03  3.27389048e+00
 -4.20688625e+03]",0.8822960745004197,0.8252132069254332,0.8781792274855059,submission2.csv,-84168.81007518171,2.0
3.0,3.0,"['bsmtfin_sf_1', 'heating_qc', 'mas_vnr_area', 'fireplace_qu', 'year_built', 'bsmt_qual', '1st_flr_sf', 'garage_area', 'kitchen_qual', 'gr_liv_area', 'exter_qual', 'overall_qual', 'porches', 'baths', 'open_porch_sf', 'full_bath', 'lot', 'overall', 'sq_ft', 'baths', 'lot_area', 'lot_frontage', 'overall_cond', 'bsmtfin_sf_1', 'bsmtfin_sf_2', '2nd_flr_sf', 'half_bath']",saleprice,1,<class 'sklearn.linear_model.base.LinearRegression'>,0,model has none,"[ 1.27408101e+01  6.97325589e+02  3.86907562e+01  1.84837157e+03
  1.66336097e+02  4.90489841e+03  3.66261869e+01  2.38048807e+01
  1.17952359e+04  3.30400153e+01  1.85695621e+04  1.40104142e+04
  1.47517230e-01  8.65608106e+03  4.87901814e+00 -8.50091885e+03
  1.55671607e-02 -4.75048761e+02 -5.71153089e-08  8.65608106e+03
  7.59348097e-01 -5.70920278e+01  7.01436393e+03  1.27408098e+01
  7.21097329e+00  8.71174364e+00 -2.44118930e+04]",0.8969926943483488,0.8371721322745975,0.8889901583710816,submission3.csv,-505792.593137137,3.0
4.0,4.0,"['bsmtfin_sf_1', 'heating_qc', 'mas_vnr_area', 'fireplace_qu', 'year_built', 'bsmt_qual', '1st_flr_sf', 'garage_area', 'kitchen_qual', 'gr_liv_area', 'exter_qual', 'overall_qual', 'porches', 'baths', 'open_porch_sf', 'full_bath', 'lot', 'overall', 'sq_ft', 'baths', 'lot_area', 'lot_frontage', 'overall_cond', 'bsmtfin_sf_1', 'bsmtfin_sf_2', '2nd_flr_sf', 'half_bath']",logsaleprice,1,<class 'sklearn.linear_model.base.LinearRegression'>,0,model has none,"[ 7.29605803e-03  1.66908301e-02  1.76383080e-03  1.26537888e-02
  2.23912487e-03  3.72940923e-02  2.48143568e-01  1.34689518e-04
  4.36955957e-02  2.34493957e-01  5.64934511e-02  4.08992240e-01
  6.94184266e-07  1.06641263e-02  6.62707195e-04  2.76706246e-03
  7.06126981e-08 -1.38254653e-03 -1.77247083e-13  1.06641263e-02
  4.45090111e-06 -4.50423229e-04  5.51363088e-02  7.29605634e-03
  7.86869182e-06  7.25952521e-05 -2.30370989e-02]",0.905682657220448,0.8797530963410817,0.9003794812413364,submission4.csv,2.3920671852130404,4.0
5.0,5.0,"['bsmtfin_sf_1', 'heating_qc', 'fireplace_qu', 'year_built', 'bsmt_qual', '1st_flr_sf', 'garage_area', 'kitchen_qual', 'gr_liv_area', 'exter_qual', 'overall_qual', 'porches', 'baths', 'open_porch_sf', 'full_bath', 'lot', 'overall', 'sq_ft', 'baths', 'lot_area', 'lot_frontage', 'overall_cond', 'bsmtfin_sf_1', '2nd_flr_sf', 'half_bath', 'total_bsmt_sf', 'fireplaces', 'year_remod/add']",logsaleprice,1,<class 'sklearn.linear_model.base.LinearRegression'>,0,model has none,"[ 6.83749236e-03  1.42413543e-02  6.84795025e-03  2.31756242e-03
  1.98621209e-02  2.06461263e-01  1.30500827e-04  4.26120343e-02
  2.04495066e-01  5.33869591e-02  4.07651104e-01  5.85691578e-07
  1.01696174e-02  5.73802334e-04 -1.87363584e-03  7.22632951e-08
 -1.48425977e-03 -2.01720592e-13  1.01696174e-02  4.06639280e-06
 -5.19664226e-04  5.41249001e-02  6.83749124e-03  1.04119849e-04
 -2.28371297e-02  8.65302722e-05  2.35212628e-02  4.82784844e-04]",0.9077538211607606,0.8830615390901566,0.9023449327598267,submission5.csv,1.8059380016340008,5.0
6.0,,"['bsmtfin_sf_1', 'heating_qc', 'fireplace_qu', 'year_built', 'bsmt_qual', '1st_flr_sf', 'garage_area', 'kitchen_qual', 'gr_liv_area', 'exter_qual', 'overall_qual', 'porches', 'baths', 'open_porch_sf', 'full_bath', 'lot', 'overall', 'sq_ft', 'baths', 'lot_area', 'lot_frontage', 'overall_cond', 'bsmtfin_sf_1', '2nd_flr_sf', 'half_bath', 'total_bsmt_sf', 'fireplaces', 'year_remod/add', 'bsmtfin_type_1_glq', 'garage_type_attchd', 'central_air_y', 'neighborhood_nridght', 'ms_subclass_2-story_1946_newer', 'exterior_1st_vinylsd', 'exterior_2nd_vinylsd']",logsaleprice,1,<class 'sklearn.linear_model.base.LinearRegression'>,0,model has none,"[ 6.29796604e-03  1.46467425e-02  4.96658549e-03  2.17979978e-03
  1.89333562e-02  2.07715671e-01  1.25331386e-04  4.07945679e-02
  1.96593155e-01  5.07681543e-02  3.92512019e-01  5.11534265e-07
  9.06749018e-03  5.95757903e-04 -2.32519046e-04  7.01875628e-08
 -1.06871209e-03 -1.93247733e-13  9.06658478e-03  4.20647150e-06
 -5.23396217e-04  5.03223888e-02  6.29808874e-03  1.06191752e-04
 -2.07128379e-02  8.52744708e-05  2.63102449e-02  5.67161474e-04
  9.84395007e-03  7.92109784e-03  2.57374346e-02  3.69568761e-02
  1.04815570e-02  3.40241227e-02 -4.64540640e-02]",0.908602359187716,0.8841481831112735,0.9016764217701104,submission6.csv,1.9855452313563329,6.0
7.0,,"['bsmtfin_sf_1', 'heating_qc', 'fireplace_qu', 'year_built', 'bsmt_qual', '1st_flr_sf', 'garage_area', 'kitchen_qual', 'gr_liv_area', 'exter_qual', 'overall_qual', 'porches', 'baths', 'open_porch_sf', 'full_bath', 'lot', 'overall', 'baths', 'lot_area', 'lot_frontage', 'overall_cond', 'bsmtfin_sf_1', '2nd_flr_sf', 'half_bath', 'total_bsmt_sf', 'fireplaces', 'year_remod/add', 'bsmtfin_type_1_glq', 'garage_type_attchd', 'central_air_y', 'neighborhood_nridght', 'ms_subclass_2-story_1946_newer', 'exterior_1st_vinylsd', 'exterior_2nd_vinylsd']",logsaleprice,1,<class 'sklearn.linear_model.base.LinearRegression'>,0,model has none,"[ 6.21320575e-03  1.47111608e-02  5.77288562e-03  2.17032907e-03
  1.91116843e-02  2.04171006e-01  1.26047197e-04  4.05467704e-02
  2.00493578e-01  5.04741150e-02  3.92290127e-01  4.60478589e-07
  8.92765829e-03  6.15247146e-04 -7.85685257e-04  6.92636676e-08
 -1.04074354e-03  8.92765827e-03  4.22708134e-06 -5.13279476e-04
  5.01318844e-02  6.21320575e-03  1.00855247e-04 -2.01020564e-02
  8.47317036e-05  2.37623462e-02  5.75931924e-04  1.11742889e-02
  7.57151352e-03  2.59358963e-02  3.76951434e-02  1.12708912e-02
  3.39163512e-02 -4.59222487e-02]",0.9084122433714568,0.8853415048906155,0.9017511443173326,submission7.csv,1.9869901885095336,7.0
8.0,,"['bsmtfin_sf_1', 'heating_qc', 'fireplace_qu', 'year_built', 'bsmt_qual', '1st_flr_sf', 'garage_area', 'kitchen_qual', 'gr_liv_area', 'exter_qual', 'overall_qual', 'porches', 'baths', 'open_porch_sf', 'full_bath', 'lot', 'overall', 'lot_area', 'lot_frontage', 'overall_cond', 'bsmtfin_sf_1', '2nd_flr_sf', 'half_bath', 'total_bsmt_sf', 'fireplaces', 'year_remod/add', 'bsmtfin_type_1_glq', 'garage_type_attchd', 'central_air_y', 'neighborhood_nridght', 'ms_subclass_2-story_1946_newer', 'exterior_1st_vinylsd', 'exterior_2nd_vinylsd']",logsaleprice,1,<class 'sklearn.linear_model.base.LinearRegression'>,0,model has none,"[ 6.21320575e-03  1.47111608e-02  5.77288562e-03  2.17032907e-03
  1.91116843e-02  2.04171006e-01  1.26047197e-04  4.05467704e-02
  2.00493578e-01  5.04741150e-02  3.92290127e-01  4.60478589e-07
  1.78553165e-02  6.15247146e-04 -7.85685255e-04  6.92636676e-08
 -1.04074354e-03  4.22708134e-06 -5.13279476e-04  5.01318844e-02
  6.21320575e-03  1.00855247e-04 -2.01020564e-02  8.47317036e-05
  2.37623462e-02  5.75931924e-04  1.11742889e-02  7.57151352e-03
  2.59358963e-02  3.76951434e-02  1.12708912e-02  3.39163512e-02
 -4.59222487e-02]",0.9084122433714564,0.8853415048910004,0.9017511443140808,submission8.csv,1.9869901873730773,8.0
9.0,,"['bsmtfin_sf_1', 'heating_qc', 'fireplace_qu', 'year_built', 'bsmt_qual', '1st_flr_sf', 'garage_area', 'kitchen_qual', 'gr_liv_area', 'exter_qual', 'overall_qual', 'porches', 'baths', 'open_porch_sf', 'full_bath', 'lot', 'overall', 'lot_area', 'lot_frontage', 'overall_cond', 'bsmtfin_sf_1', '2nd_flr_sf', 'half_bath', 'total_bsmt_sf', 'fireplaces', 'year_remod/add', 'garage_type_attchd', 'central_air_y', 'neighborhood_nridght', 'ms_subclass_2-story_1946_newer', 'exterior_1st_vinylsd', 'exterior_2nd_vinylsd']",logsaleprice,1,<class 'sklearn.linear_model.base.LinearRegression'>,0,model has none,"[ 6.63488557e-03  1.49949036e-02  5.73310661e-03  2.18448226e-03
  1.96794482e-02  2.04367541e-01  1.25549410e-04  4.07811168e-02
  2.01566703e-01  5.15856588e-02  3.89289787e-01  4.71375303e-07
  1.76088864e-02  7.39241009e-04 -2.96034016e-04  6.96288592e-08
 -8.47851632e-04  4.19009392e-06 -5.21860119e-04  4.86488880e-02
  6.63488557e-03  9.98988209e-05 -2.03766936e-02  8.29067163e-05
  2.32622199e-02  6.05806940e-04  7.21783275e-03  2.48818908e-02
  3.74553255e-02  1.11206346e-02  3.47742008e-02 -4.60858938e-02]",0.908337217848292,0.8856460472096734,0.9018677941420614,submission9.csv,1.893395990747365,9.0
