id,pid,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,land_slope,condition_1,bldg_type,overall_qual,overall_cond,year_built,year_remod/add,roof_style,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,porches,baths,lot,overall,sq_ft,logsaleprice,ms_subclass_1-1/2_story_pud_-_all_ages,ms_subclass_1-1/2_story_unfinished_all_ages,ms_subclass_1-story_1945_older,ms_subclass_1-story_1946_newer_all_styles,ms_subclass_1-story_finished_attic_all_ages,ms_subclass_1-story_pud_(planned_unit_development)_-_1946_newer,ms_subclass_2_family_conversion_-_all_styles_and_ages,ms_subclass_2-1/2_story_all_ages,ms_subclass_2-story_1945_older,ms_subclass_2-story_1946_newer,ms_subclass_2-story_pud_-_1946_newer,ms_subclass_duplex_-_all_styles_and_ages,ms_subclass_pud_-_multilevel_-_incl_split_lev/foyer,ms_subclass_split_foyer,ms_subclass_split_or_multi-level,lot_config_culdsac,lot_config_fr2,lot_config_fr3,lot_config_inside,neighborhood_blueste,neighborhood_brdale,neighborhood_brkside,neighborhood_clearcr,neighborhood_collgcr,neighborhood_crawfor,neighborhood_edwards,neighborhood_gilbert,neighborhood_greens,neighborhood_grnhill,neighborhood_idotrr,neighborhood_landmrk,neighborhood_meadowv,neighborhood_mitchel,neighborhood_names,neighborhood_noridge,neighborhood_npkvill,neighborhood_nridght,neighborhood_nwames,neighborhood_oldtown,neighborhood_sawyer,neighborhood_sawyerw,neighborhood_somerst,neighborhood_stonebr,neighborhood_swisu,neighborhood_timber,neighborhood_veenker,condition_2_feedr,condition_2_norm,condition_2_posa,condition_2_posn,condition_2_rrae,condition_2_rran,condition_2_rrnn,house_style_1.5unf,house_style_1story,house_style_2.5fin,house_style_2.5unf,house_style_2story,house_style_sfoyer,house_style_slvl,roof_matl_membran,roof_matl_tar&grv,roof_matl_wdshake,roof_matl_wdshngl,exterior_1st_asphshn,exterior_1st_brkcomm,exterior_1st_brkface,exterior_1st_cblock,exterior_1st_cemntbd,exterior_1st_hdboard,exterior_1st_imstucc,exterior_1st_metalsd,exterior_1st_plywood,exterior_1st_stone,exterior_1st_stucco,exterior_1st_vinylsd,exterior_1st_wd_sdng,exterior_1st_wdshing,exterior_2nd_asphshn,exterior_2nd_brk_cmn,exterior_2nd_brkface,exterior_2nd_cblock,exterior_2nd_cmentbd,exterior_2nd_hdboard,exterior_2nd_imstucc,exterior_2nd_metalsd,exterior_2nd_plywood,exterior_2nd_stone,exterior_2nd_stucco,exterior_2nd_vinylsd,exterior_2nd_wd_sdng,exterior_2nd_wd_shng,bsmtfin_type_1_blq,bsmtfin_type_1_glq,bsmtfin_type_1_lwq,bsmtfin_type_1_na,bsmtfin_type_1_rec,bsmtfin_type_1_unf,central_air_y,garage_type_attchd,garage_type_basment,garage_type_builtin,garage_type_carport,garage_type_detchd,garage_type_na
109,533352170,rl,0.0,13517,pave,na,ir1,lvl,allpub,gtl,rrae,1fam,1.791759469228055,8,1976,2005,gable,brkface,5.666426688112433,4,3,cblock,3,3,no,6.2785214241658425,unf,0.0,192.0,725.0,gasa,5,sbrkr,6.586171654854675,754,0,7.2991214627108,0.0,0.0,2,1,3,1,4,6,typ,0,0,1976.0,rfn,2.0,475.0,3,3,y,0,3.7841896339182615,0,0,0,0,0,na,na,0,3,2010,wd ,130500,0,2,0.0,48,0.0,11.779128505744884,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
544,531379050,rl,43.0,11492,pave,na,ir1,lvl,allpub,gtl,norm,1fam,1.9459101490553128,5,1996,1997,gable,brkface,4.882801922586372,4,3,pconc,4,3,no,6.456769655572161,unf,0.0,276.0,913.0,gasa,5,sbrkr,6.816735880594968,1209,0,7.660114319173927,1.0,0.0,2,1,4,1,4,8,typ,1,3,1997.0,rfn,2.0,559.0,3,3,y,0,4.30406509320417,0,0,0,0,0,na,na,0,4,2009,wd ,220000,0,2,494156.0,35,0.0,12.3013828253345,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
153,535304180,rl,68.0,7922,pave,na,reg,lvl,allpub,gtl,norm,1fam,1.6094379124341005,7,1953,2007,gable,none,0.0,3,4,cblock,3,3,no,6.594413459749777,unf,0.0,326.0,1057.0,gasa,3,sbrkr,6.963189985870238,0,0,6.963189985870238,1.0,0.0,1,0,3,1,4,5,typ,0,0,1953.0,unf,1.0,246.0,3,3,y,0,3.951243718581428,0,0,0,0,0,na,na,0,1,2010,wd ,109000,0,0,538696.0,35,0.0,11.599103161211278,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
318,916386060,rl,73.0,9802,pave,na,reg,lvl,allpub,gtl,norm,1fam,1.6094379124341005,5,2006,2007,gable,none,0.0,3,3,pconc,4,3,no,0.0,unf,0.0,384.0,384.0,gasa,4,sbrkr,6.6120410348330925,700,0,7.275172319452771,0.0,0.0,2,1,3,1,3,7,typ,0,0,2007.0,fin,2.0,400.0,3,3,y,100,0.0,0,0,0,0,0,na,na,0,4,2010,wd ,174000,0,2,715546.0,25,0.0,12.066810578196664,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
255,906425045,rl,82.0,14235,pave,na,ir1,lvl,allpub,gtl,norm,1fam,1.791759469228055,8,1900,1993,gable,none,0.0,3,3,pconc,2,4,no,0.0,unf,0.0,676.0,676.0,gasa,3,sbrkr,6.7226297948554485,614,0,7.275864600546532,0.0,0.0,2,0,3,1,3,6,typ,0,0,1957.0,unf,2.0,484.0,3,3,n,0,4.07753744390572,0,0,0,0,0,na,na,0,3,2010,wd ,138500,0,0,1167270.0,48,0.0,11.83862560460953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
138,535126040,rl,137.0,16492,pave,na,ir1,lvl,allpub,gtl,posa,1fam,1.791759469228055,6,1966,2002,gable,none,0.0,4,3,cblock,3,3,no,5.5093883366279774,rec,713.0,557.0,1517.0,gasa,5,sbrkr,7.543273346705446,0,0,7.543273346705446,0.0,0.0,2,1,2,1,4,6,mod,1,4,1966.0,fin,2.0,578.0,3,3,y,0,0.0,0,0,0,0,0,na,na,0,6,2010,wd ,190000,0,2,2259404.0,36,0.0,12.154779351142626,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2827,908186070,rm,35.0,3675,pave,na,reg,lvl,allpub,gtl,norm,twnhse,1.791759469228055,5,2005,2006,gable,brkface,4.4067192472642525,3,3,pconc,4,3,gd,6.304448802421981,unf,0.0,0.0,547.0,gasa,4,sbrkr,6.977281341630747,0,0,6.977281341630747,1.0,0.0,2,0,2,1,3,5,typ,0,0,2005.0,fin,2.0,525.0,3,3,y,0,3.7841896339182615,0,0,0,0,0,na,na,0,6,2006,new,140000,0,0,128625.0,30,0.0,11.849397701591439,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
145,535154050,rl,0.0,12160,pave,na,ir1,lvl,allpub,gtl,norm,1fam,1.6094379124341005,5,1959,1959,hip,brkface,5.1929568508902095,3,3,cblock,3,3,no,6.907755278982138,unf,0.0,188.0,1188.0,gasa,2,sbrkr,7.080026499922591,0,0,7.080026499922591,1.0,0.0,1,0,3,1,3,6,typ,0,0,1959.0,rfn,2.0,531.0,3,3,y,0,0.0,0,0,0,0,0,mnprv,na,0,5,2010,cod,142000,0,0,0.0,25,0.0,11.8635823365834,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
1942,535353130,rl,0.0,15783,pave,na,reg,lvl,allpub,gtl,artery,1fam,1.6094379124341005,5,1952,1952,gable,none,0.0,3,3,cblock,3,3,no,5.676753802268282,unf,0.0,632.0,924.0,gasa,3,sbrkr,6.828712071641682,0,0,6.828712071641682,0.0,0.0,1,0,2,1,3,6,typ,0,0,1952.0,unf,1.0,420.0,3,3,y,0,5.780743515792329,0,0,0,0,0,mnprv,shed,400,6,2007,wd ,112500,0,0,0.0,25,0.0,11.630708500626614,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
1956,535426130,rl,70.0,11606,pave,na,ir1,hls,allpub,sev,norm,1fam,1.6094379124341005,5,1969,1969,gable,brkface,5.2574953720277815,3,3,pconc,4,3,av,6.476972362889682,unf,0.0,390.0,1040.0,gasa,3,sbrkr,6.9469759921354175,1040,0,7.640123172695364,0.0,1.0,1,2,5,1,2,9,typ,2,3,1969.0,unf,2.0,504.0,3,3,y,335,0.0,0,0,0,0,0,na,na,0,9,2007,wd ,135000,0,2,812420.0,25,0.0,11.813030057420569,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
